Variable,Valor,Descripción
Trim,1,Enero - Marzo 2014
Trim,2,Abril - Junio 2014
Trim,3,Julio - Septiembre 2014
Trim,4,Octubre- Diciembre 2014
reg_mue,1,Matamoros
reg_mue,2,Nuevo Laredo
reg_mue,3,Piedras Negras
reg_mue,4,Ciudad Juárez
reg_mue,5,Nogales
reg_mue,6,Mexicali
reg_mue,7,Tijuana
turno,1,01:00 hrs - 07:59 hrs
turno,2,08:00 hrs - 15:59 hrs
turno,3,16:00 hrs - 23:59 hrs
p1,1,Hombre
p1,2,Mujer
p1,97,No sabe
p1,98,No responde
p1,99,No especificado
p2,97,No sabe
p2,98,No responde
p2,99,No especificado
p3,1,Sí
p3,2,No
p3,97,No sabe
p3,98,No responde
p3,99,No especificado
p3_1,-1,No sabe leer y escribir
p3_1,1,Español
p3_1,2,Inglés
p3_1,3,Ambos idiomas
p3_1,97,No sabe
p3_1,98,No responde
p3_1,99,No especificado
p4n,1,Ninguno
p4n,2,Primaria
p4n,3,Secundaria
p4n,4,Preparatoria
p4n,5,Escuela técnica con primaria
p4n,6,Escuela técnica con secundaria
p4n,7,Normal
p4n,8,Profesional
p4n,9,Elementary
p4n,10,High School
p4n,11,College
p4n,12,Maestría/Master
p4n,13,Doctorado/PH Doctor
p4n,97,No sabe
p4n,98,No responde
p4n,99,No especificado
p4g,97,No sabe
p4g,98,No responde
p4g,99,No especificado
p4_1,-1,Sin escolaridad
p4_1,1,México
p4_1,2,Estados Unidos
p4_1,3,Otro
p4_1,97,No sabe
p4_1,98,No responde
p4_1,99,No especificado
p5,1,Sí
p5,2,No
p5,97,No sabe
p5,98,No responde
p5,99,No especificado
p6,1,Sí
p6,2,No
p6,97,No sabe
p6,98,No responde
p6,99,No especificado
p6_1,-1,No habla inglés
p6_1,1,Muy bien
p6_1,2,Bien
p6_1,3,Regular
p6_1,4,Mal
p6_1,5,Muy mal
p6_1,97,No sabe
p6_1,98,No responde
p6_1,99,No especificado
p7,1,Vive en unión libre
p7,2,Separado
p7,3,Divorciado
p7,4,Viudo
p7,5,Casado
p7,6,Soltero
